France,CP04122,Garage rentals and other rentals paid by tenants,2020,0
France,CP043,Maintenance and repair of the dwelling,2020,19.14
France,CP0431,Materials for the maintenance and repair of the dwelling,2020,2.17
France,CP0432,Services for the maintenance and repair of the dwelling,2020,16.97
France,CP04321,Services of plumbers,2020,5.82
France,CP04322,Services of electricians,2020,5.74
France,CP04323,Maintenance services for heating systems,2020,2.14
France,CP04324,Services of painters,2020,1.8
France,CP04325,Services of carpenters,2020,1.46
France,CP04329,Other services for maintenance and repair of the dwelling,2020,0
France,CP044,Water supply and miscellaneous services relating to the dwelling,2020,16.63
France,CP0441,Water supply,2020,4.28
France,CP0442,Refuse collection,2020,4.16
France,CP0443,Sewerage collection,2020,5.45
France,CP0444,Other services relating to the dwelling n.e.c.,2020,2.74
France,CP04441,Maintenance charges in multi-occupied buildings,2020,2.67
France,CP04442,Security services,2020,0
France,CP04449,Other services related to dwelling,2020,0.07
France,CP045,Electricity gas and other fuels,2020,52.59
France,CP0451,Electricity,2020,28.37
France,CP0452,Gas,2020,13.01
France,CP04521,Natural gas and town gas,2020,11.16
France,CP04522,Liquefied hydrocarbons (butane propane etc.),2020,1.84
France,CP0453,Liquid fuels,2020,7.54
France,CP0454,Solid fuels,2020,1.67
France,CP04541,Coal,2020,0
France,CP04549,Other solid fuels,2020,1.67
France,CP0455,Heat energy,2020,1.99
France,CP05,Furnishings household equipment and routine household maintenance,2020,54.67
France,CP051,Furniture and furnishings carpets and other floor coverings,2020,17.04
France,CP0511,Furniture and furnishings,2020,14.41
France,CP05111,Household furniture,2020,13.45
France,CP05112,Garden furniture,2020,0.32
France,CP05113,Lighting equipment,2020,0.31
France,CP05119,Other furniture and furnishings,2020,0.33
France,CP0512,Carpets and other floor coverings,2020,1.52
France,CP05121,Carpet and rugs,2020,0.35
France,CP05122,Other floor coverings,2020,0.28
France,CP05123,Services of laying of fitted carpets and floor coverings,2020,0.9
France,CP0513,Repair of furniture furnishings and floor coverings,2020,1.12
France,CP052,Household textiles,2020,4.02
France,CP05201,Furnishings fabrics and curtains,2020,0.77
France,CP05202,Bed linen,2020,1.34
France,CP05203,Table linen and bathroom linen,2020,1.13
France,CP05204,Repair of household textiles,2020,0
France,CP05209,Other household textiles,2020,0.79
France,CP053,Household appliances,2020,9.57
France,CP0531,Major household appliances whether electric or not,2020,6.64
France,CP05311,Refrigerators freezers and fridge-freezers,2020,1.42
France,CP05312,Clothes washing machines clothes drying machines and dish washing machines,2020,1.87
France,CP05313,Cookers,2020,1.81
France,CP05314,Heaters air conditioners,2020,1.07
France,CP05315,Cleaning equipment,2020,0.47
France,CP05319,Other major household appliances,2020,0
France,CP0532,Small electric household appliances,2020,2
France,CP05321,Food processing appliances,2020,0.66
France,CP05322,Coffee machines tea-makers and similar appliances,2020,0.22
France,CP05323,Irons,2020,0.27
France,CP05324,Toasters and grills,2020,0.11
France,CP05329,Other small electric household appliances,2020,0.75
France,CP0533,Repair of household appliances,2020,0.94
France,CP054,Glassware tableware and household utensils,2020,7.71
France,CP05401,Glassware crystal-ware ceramic ware and chinaware,2020,2.02
France,CP05402,Cutlery flatware and silverware,2020,2
France,CP05403,Non-electric kitchen utensils and articles,2020,3.68
France,CP05404,Repair of glassware tableware and household utensils,2020,0
France,CP055,Tools and equipment for house and garden,2020,4.95
France,CP0551,Major tools and equipment,2020,2.54
France,CP05511,Motorized major tools and equipment,2020,1.33
France,CP05512,Repair leasing and rental of major tools and equipment,2020,1.21
France,CP0552,Small tools and miscellaneous accessories,2020,2.41
France,CP05521,Non-motorised small tools,2020,0.81
France,CP05522,Miscellaneous small tool accessories,2020,1.61
France,CP05523,Repair of non-motorised small tools and miscellaneous accessories,2020,0
France,CP056,Goods and services for routine household maintenance,2020,11.37
France,CP0561,Non-durable household goods,2020,8.97
France,CP05611,Cleaning and maintenance products,2020,5.33
France,CP05612,Other non-durable small household articles,2020,3.65
France,CP0562,Domestic services and household services,2020,2.4
France,CP05621,Domestic services by paid staff,2020,1.6
France,CP05622,Cleaning services,2020,0.28
France,CP05623,Hire of furniture and furnishings,2020,0.51
France,CP05629,Other domestic services and household services,2020,0
France,CP06,Health,2020,42.82
France,CP061,Medical products appliances and equipment,2020,18.04
France,CP0611,Pharmaceutical products,2020,10.82
France,CP0612_0613,Other medical products therapeutic appliances and equipment,2020,7.22
France,CP0612,Other medical products,2020,0.7
France,CP06121,Pregnancy tests and mechanical contraceptive devices,2020,0.07
France,CP06129,Other medical products n.e.c.,2020,0.64
France,CP0613,Therapeutic appliances and equipment,2020,6.52
France,CP06131,Corrective eye-glasses and contact lenses,2020,5.72
France,CP06132,Hearing aids,2020,0.8
France,CP06133,Repair of therapeutic appliances and equipment,2020,0
France,CP06139,Other therapeutic appliances and equipment,2020,0
France,CP062,Out-patient services,2020,22.68
France,CP0621_0623,Medical services and paramedical services,2020,15.52
France,CP0621,Medical services,2020,9.93
France,CP06211,General practice,2020,1.17
France,CP06212,Specialist practice,2020,8.76
France,CP0622,Dental services,2020,7.16
France,CP0623,Paramedical services,2020,5.58
France,CP06231,Services of medical analysis laboratories and X-ray centres,2020,1.66
France,CP06232,Thermal-baths corrective-gymnastic therapy ambulance and hire of therapeutic equipment,2020,0.27
France,CP06239,Other paramedical services,2020,3.65
France,CP063,Hospital services,2020,2.1
France,CP07,Transport,2020,173.38
France,CP071,Purchase of vehicles,2020,42.77
France,CP0711,Motor cars,2020,40.04
France,CP07111,New motor cars,2020,26.05
France,CP07112,Second-hand motor cars,2020,13.99
France,CP0712-0714,Motor cycles bicycles and animal drawn vehicles,2020,2.74
France,CP0712,Motor cycles,2020,1.61
France,CP0713,Bicycles,2020,1.13
France,CP0714,Animal drawn vehicles,2020,0
France,CP072,Operation of personal transport equipment,2020,99.85
France,CP0721,Spare parts and accessories for personal transport equipment,2020,5.59
France,CP07211,Tyres,2020,0.54
France,CP07212,Spare parts for personal transport equipment,2020,2.54
France,CP07213,Accessories for personal transport equipment,2020,2.51
France,CP0722,Fuels and lubricants for personal transport equipment,2020,41.16
France,CP07221,Diesel,2020,23.52
France,CP07222,Petrol,2020,16.19
France,CP07223,Other fuels for personal transport equipment,2020,0.1
France,CP07224,Lubricants,2020,1.35
France,CP0723,Maintenance and repair of personal transport equipment,2020,36.32
France,CP0724,Other services in respect of personal transport equipment,2020,16.78
France,CP07241,Hire of garages parking spaces and personal transport equipment,2020,3.12
France,CP07242,Toll facilities and parking meters,2020,8.25
France,CP07243,Driving lessons tests licences and road worthiness tests,2020,5.4
France,CP073,Transport services,2020,30.76
France,CP0731,Passenger transport by railway,2020,7.08
France,CP07311,Passenger transport by train,2020,6.38
France,CP07312,Passenger transport by underground and tram,2020,0.7
France,CP0732,Passenger transport by road,2020,8.33
France,CP07321,Passenger transport by bus and coach,2020,6.45
France,CP07322,Passenger transport by taxi and hired car with driver,2020,1.88
France,CP0733,Passenger transport by air,2020,12.17
France,CP07331,Domestic flights,2020,3.17
France,CP07332,International flights,2020,9
France,CP0734,Passenger transport by sea and inland waterway,2020,0.4
France,CP07341,Passenger transport by sea,2020,0.26
France,CP07342,Passenger transport by inland waterway,2020,0.13
France,CP0735,Combined passenger transport,2020,2.09
France,CP0736,Other purchased transport services,2020,0.7
France,CP07361,Funicular cable-car and chair-lift transport,2020,0
France,CP07362,Removal and storage services,2020,0.7
France,CP07369,Other purchased transport services n.e.c.,2020,0
